Date,Partner,Platform,Status,App Name,Ad Name,Imps,Clicks,Installs,Spend,Avg. Position,Visibility,Customers,Revenue
01/05/2025,Magical Apps,Shopify,Live,Magical Fees & Tariffs,Broad - Top Plans,170,1,,$1.33,3.2,6.90%,,
01/05/2025,Magical Apps,Shopify,Live,Magical Fees & Tariffs,Exact - Top Plans,46,6,2,$14.98,1.7,100.00%,,
01/05/2025,Magical Apps,Shopify,Live,Address Ninja - Validator,Broad - Top Plans,247,4,,$6.12,2.9,13.40%,,
01/05/2025,Magical Apps,Shopify,Live,Address Ninja - Validator,Exact - Top Plans,53,1,,$6.03,2.2,44.20%,,
01/05/2025,Magical Apps,Shopify,Live,Magical Make An Offer,Exact - Top Plans,6,,,,1.5,33.30%,,
01/05/2025,Magical Apps,Shopify,Live,Magical Make An Offer,Broad - Top Plans,152,,,,22.6,8.40%,,
02/05/2025,Magical Apps,Shopify,Live,Magical Fees & Tariffs,Broad - Top Plans,324,3,,$3.99,3.4,7.20%,,
02/05/2025,Magical Apps,Shopify,Live,Magical Fees & Tariffs,Exact - Top Plans,72,9,2,$21.97,1.5,100.00%,,
02/05/2025,Magical Apps,Shopify,Live,Address Ninja - Validator,Broad - Top Plans,449,4,,$6.12,2.9,12.70%,,
02/05/2025,Magical Apps,Shopify,Live,Address Ninja - Validator,Exact - Top Plans,104,2,,$12.06,2.4,45.00%,,
02/05/2025,Magical Apps,Shopify,Live,Magical Make An Offer,Exact - Top Plans,7,,,,1.6,33.30%,,
02/05/2025,Magical Apps,Shopify,Live,Magical Make An Offer,Broad - Top Plans,297,,,,2.6,8.60%,,
04/05/2025,Magical Apps,Shopify,Live,Magical Fees & Tariffs,Broad - Top Plans,485,6,,$7.98,3.4,7.30%,,
04/05/2025,Magical Apps,Shopify,Live,Magical Fees & Tariffs,Exact - Top Plans,100,12,2,$29.76,1.5,100.00%,,
04/05/2025,Magical Apps,Shopify,Live,Address Ninja - Validator,Broad - Top Plans,694,11,,$16.83,2.8,13.40%,,
04/05/2025,Magical Apps,Shopify,Live,Address Ninja - Validator,Exact - Top Plans,149,3,,$18.09,2.4,42.60%,,
04/05/2025,Magical Apps,Shopify,Live,Magical Make An Offer,Exact - Top Plans,14,1,1,$5.53,1.5,48.30%,,
04/05/2025,Magical Apps,Shopify,Live,Magical Make An Offer,Broad - Top Plans,492,7,1,$11.71,2.7,9.70%,,
06/05/2025,Magical Apps,Shopify,Live,Magical Fees & Tariffs,Broad - Top Plans,850,10,,$13.30,3.4,7.10%,,
06/05/2025,Magical Apps,Shopify,Live,Magical Fees & Tariffs,Exact - Top Plans,144,17,4,$39.51,1.5,99.30%,,
06/05/2025,Magical Apps,Shopify,Live,Address Ninja - Validator,Broad - Top Plans,"1,133",16,1,$24.48,2.8,12.40%,,
06/05/2025,Magical Apps,Shopify,Live,Address Ninja - Validator,Exact - Top Plans,257,4,,$23.12,2.5,43.60%,,
06/05/2025,Magical Apps,Shopify,Live,Magical Make An Offer,Exact - Top Plans,36,4,2,$23.12,1.8,58.10%,,
06/05/2025,Magical Apps,Shopify,Live,Magical Make An Offer,Broad - Top Plans,839,8,1,$13.74,2.7,9.20%,,
07/05/2025,Magical Apps,Shopify,Live,Magical Fees & Tariffs,Broad - Top Plans,"1,041",12,1,$15.96,3.4,7.10%,,
07/05/2025,Magical Apps,Shopify,Live,Magical Fees & Tariffs,Exact - Top Plans,182,23,4,$51.49,1.6,96.30%,,
07/05/2025,Magical Apps,Shopify,Live,Address Ninja - Validator,Broad - Top Plans,"1,322",17,1,$26.01,2.9,11.70%,,
07/05/2025,Magical Apps,Shopify,Live,Address Ninja - Validator,Exact - Top Plans,296,5,,$28.15,2.6,40.50%,,
07/05/2025,Magical Apps,Shopify,Live,Magical Make An Offer,Exact - Top Plans,45,4,2,$23.12,1.8,63.40%,,
07/05/2025,Magical Apps,Shopify,Live,Magical Make An Offer,Broad - Top Plans,"1,032",10,1,$17.80,2.8,9.30%,,
07/05/2025,Magical Apps,Shopify,Live,Magical Fees & Tariffs,Fees Awareness,13,,,,2.7,44.80%,,
07/05/2025,Magical Apps,Shopify,Live,Magical Make An Offer,Make an Offer Awareness,10,2,,$15.00,1.0,58.80%,,
08/05/2025,Magical Apps,Shopify,Live,Magical Fees & Tariffs,Broad - Top Plans,"1,223",13,2,$17.29,3.4,7.00%,,
08/05/2025,Magical Apps,Shopify,Live,Magical Fees & Tariffs,Exact - Top Plans,215,28,5,$62.24,1.6,95.60%,,
08/05/2025,Magical Apps,Shopify,Live,Address Ninja - Validator,Broad - Top Plans,"1,536",18,1,$27.54,2.9,11.60%,,
08/05/2025,Magical Apps,Shopify,Live,Address Ninja - Validator,Exact - Top Plans,344,8,,$43.24,2.6,39.80%,,
08/05/2025,Magical Apps,Shopify,Live,Magical Make An Offer,Exact - Top Plans,47,4,2,$23.12,1.8,59.50%,,
08/05/2025,Magical Apps,Shopify,Live,Magical Make An Offer,Broad - Top Plans,"1,170",14,2,$25.32,2.8,8.90%,,
08/05/2025,Magical Apps,Shopify,Live,Magical Fees & Tariffs,Fees Awareness,38,4,,$32.00,2.2,42.20%,,
08/05/2025,Magical Apps,Shopify,Live,Magical Make An Offer,Make an Offer Awareness,22,6,1,$34.00,1.1,61.10%,,
09/05/2025,Magical Apps,Shopify,Live,Magical Fees & Tariffs,Broad - Top Plans,"1,333",16,2,$21.28,3.4,6.80%,,
09/05/2025,Magical Apps,Shopify,Live,Magical Fees & Tariffs,Exact - Top Plans,257,35,7,$76.45,1.6,94.80%,,
09/05/2025,Magical Apps,Shopify,Live,Address Ninja - Validator,Broad - Top Plans,"1,673",18,1,$27.54,2.9,11.20%,,
09/05/2025,Magical Apps,Shopify,Live,Address Ninja - Validator,Exact - Top Plans,377,10,1,$53.30,2.7,38.30%,,
