App Name,Ad Name,Month,Time Zone,Currency,Country Code,Country,Shop Plan,Device Type,Search Term,Keyword,Match Type,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate
Magical Make an Offer,Make an Offer Awareness - USA/CAD,2025-02-01,UTC,USD,US,United States,Basic,desktop,make an offer,make an offer,exact,4.03,24,5,0.208333,3,0.6,8,13.333333,40,1.833333,0.75,,,,,
Magical Make an Offer,Make an Offer Awareness - USA/CAD,2025-02-01,UTC,USD,US,United States,Grow,desktop,make an offer,make an offer,exact,4.03,22,5,0.227272,0,0,8,0,40,2,1,,,,,
Magical Make an Offer,Make an Offer Awareness - USA/CAD,2025-02-01,UTC,USD,US,United States,Basic,desktop,make offer,make offer,exact,3.03,19,3,0.157894,1,0.333333,7,21,21,2,1,,,,,
Magical Make an Offer,Make an Offer Awareness - USA/CAD,2025-02-01,UTC,USD,US,United States,Basic,desktop,pay what you want,pay what you want,exact,3.03,17,2,0.117647,1,0.5,7,14,14,1,1,,,,,
Magical Make an Offer,Make an Offer Awareness - USA/CAD,2025-02-01,UTC,USD,US,United States,not_applicable,desktop,pay what you want,pay what you want,exact,3.03,16,6,0.375,2,0.333333,7,21,42,1,0.941176,,,,,
Magical Make an Offer,Make an Offer Awareness - USA/CAD,2025-02-01,UTC,USD,US,United States,not_applicable,desktop,make an offer,make an offer,exact,4.03,9,2,0.222222,0,0,8,0,16,2,1.8,,,,,
Magical Make an Offer,Make an Offer Awareness - USA/CAD,2025-02-01,UTC,USD,US,United States,Plus,desktop,make an offer,make an offer,exact,4.03,8,0,0,0,0,0,0,0,2,1,,,,,
Magical Make an Offer,Make an Offer Awareness - USA/CAD,2025-02-01,UTC,USD,US,United States,Grow,desktop,best offer,best offer,exact,5,5,0,0,0,0,0,0,0,4.2,0.555555,,,,,
Magical Make an Offer,Make an Offer Awareness - USA/CAD,2025-02-01,UTC,USD,US,United States,Basic,desktop,pwyw,pwyw,broad,3.03,4,0,0,0,0,0,0,0,1,1,,,,,
Magical Make an Offer,Make an Offer Awareness - USA/CAD,2025-02-01,UTC,USD,FR,France,Basic,desktop,pay what you want,pay what you want,exact,3.03,4,0,0,0,0,0,0,0,1,0.8,,,,,
Magical Make an Offer,Make an Offer Awareness - USA/CAD,2025-02-01,UTC,USD,US,United States,Advanced,desktop,make offer,make offer,exact,3.03,4,0,0,0,0,0,0,0,2,1,,,,,
Magical Make an Offer,Make an Offer Awareness - USA/CAD,2025-02-01,UTC,USD,GB,United Kingdom,Basic,desktop,make offer,make offer,exact,3.03,3,2,0.666666,0,0,7,0,14,2,1,,,,,
Magical Make an Offer,Make an Offer Awareness - USA/CAD,2025-02-01,UTC,USD,GB,United Kingdom,Basic,desktop,make an offer,make an offer,exact,4.03,3,1,0.333333,0,0,8,0,8,2,1,,,,,
Magical Make an Offer,Make an Offer Awareness - USA/CAD,2025-02-01,UTC,USD,FR,France,Grow,desktop,price negotiation,price negotiation,exact,6,2,1,0.5,0,0,6,0,6,3,1,,,,,
Magical Make an Offer,Make an Offer Awareness - USA/CAD,2025-02-01,UTC,USD,NZ,New Zealand,Basic,desktop,pay what you want,pay what you want,exact,3.03,2,1,0.5,0,0,7,0,7,1,1,,,,,
